"","belong","name","city","district","lowsalary","highsalary","experience","degree","company","companyintroduction","companyfield","companyfinancial","companymembers","tags"
"2868","suanfagongchengshidata","算法工程师","广州","天河区",15,25,"经验3-5年","本科","广州思迈特","“晋升渠道 六险一金 福利多多”","企业服务,数据服务","A轮","150-500人","/技能培训/带薪年假/年度旅游/扁平管理/"
"2869","suanfagongchengshidata","算法工程师","上海","浦东新区",25,50,"经验1-3年","本科","趣头条","“独角兽,日活千万,算法驱动,弹性上班”","移动互联网","上市公司","500-2000人","/专项奖金/带薪年假/弹性工作/管理规范/"
"2870","suanfagongchengshidata","算法工程师","北京","苏州街",20,36,"经验1-3年","硕士","弘道","“五险一金,午餐补助,交通补助,通讯补贴”","医疗健康,数据服务","不需要融资","50-150人","/医疗健康/"
"2871","suanfagongchengshidata","算法工程师（图像、传感器融合，室内外定位）","北京","学院路",25,50,"经验不限","本科","睦星科技","“发展空间,免费小零食,牛人大咖多”","移动互联网,其他","A轮","15-50人","/C++/Python/全栈/"
"2872","suanfagongchengshidata","算法工程师","北京","朝阳区",40,60,"经验5-10年","本科","小打卡","“扁平化管理 精英团队”","移动互联网,数据服务","A轮","15-50人","/社交/推荐/"
"2873","suanfagongchengshidata","算法工程师","武汉","东湖新技术开发区",10,20,"经验1-3年","本科","烽火普天","“大牛带你飞,扁平管理,花样福利”","企业服务、数据服务","A轮","50-150人","/大数据/语音识别/机器学习/"
"2874","suanfagongchengshidata","算法工程师","上海","漕宝路",20,40,"经验不限","不限","上海知墨","“氛围活跃,技术大牛,弹性工作,不打卡”","教育","不需要融资","50-150人","/人工智能/图像处理/"
"2875","suanfagongchengshidata","算法工程师","北京","望京",40,50,"经验5-10年","本科","同程艺龙","“六险一金,扁平化管理,朝阳行业”","旅游,电子商务","上市公司","2000人以上","/绩效奖金/股票期权/年底双薪/五险一金/"
"2876","suanfagongchengshidata","算法工程师","广州","鱼珠",25,35,"经验3-5年","本科","云徙科技","“快速发展,A轮融资,五险一金”","数据服务,移动互联网","A轮","500-2000人","/五险一金/岗位晋升/弹性工作/扁平管理/"
"2877","suanfagongchengshidata","算法工程师（图像）","上海","张江",15,30,"经验1-3年","硕士","图麟科技","“人工智能行业 核心系统开发”","移动互联网,硬件","A轮","50-150人","/云计算/移动互联网/人工智能/图像处理/"
"2878","suanfagongchengshidata","算法工程师","北京","西北旺",8,13,"经验1-3年","本科","畅捷通","“班车食堂,五险一金,通信补贴,上市公司”","移动互联网,企业服务","上市公司","500-2000人","/人工智能/机器学习/深度学习/"
"2879","suanfagongchengshidata","算法工程师","宁波","镇海区",10,20,"经验1-3年","本科","吉利汽车","“平台大、福利好、产品棒”","生活服务,其他","上市公司","2000人以上","/机器学习/"
"2880","suanfagongchengshidata","算法工程师（光电）","深圳","科技园",12,24,"经验3-5年","本科","矽赫科技","“前沿科技 海归团队 人文关怀”","人工智能,硬件","不需要融资","15-50人","/通信/网络设备/智能硬件/通信/"
"2881","suanfagongchengshidata","算法工程师","上海","龙华",30,60,"经验3-5年","本科","天壤智能","“AI,人工智能,城市大脑”","移动互联网,企业服务","A轮","50-150人","/深度学习/人工智能/"
"2882","suanfagongchengshidata","算法工程师（图像、传感器融合，室内外定位）","北京","学院路",25,50,"经验应届毕业生","本科","睦星科技","“发展空间,免费小零食,牛人大咖多”","移动互联网,其他","A轮","15-50人","/云计算/大数据/C++/Python/数字信号处理/"
"2883","suanfagongchengshidata","算法工程师（广州）","广州","鱼珠",15,30,"经验1-3年","本科","云徙科技","“快速发展,A轮融资,五险一金”","数据服务,移动互联网","A轮","500-2000人","/大数据/数据挖掘/数据分析/"
"2884","suanfagongchengshidata","算法工程师","南京","光华路",20,25,"经验1-3年","本科","网感至察","“五险一金，综合意外险，节日福利，带薪年假”","数据服务","天使轮","15-50人","/大数据/云计算/深度学习/数据挖掘/"
"2885","suanfagongchengshidata","算法工程师","苏州","独墅湖",10,20,"经验1-3年","本科","瑞小云","“五险一金、绩效奖金、年终多薪、年度旅游。”","移动互联网","不需要融资","15-50人","/大数据/机器学习/深度学习/数据挖掘/"
"2886","suanfagongchengshidata","算法工程师","上海","静安区",20,40,"经验1-3年","本科","Qtum","“国际化团队 丰厚年终奖 年度出国游”","移动互联网金融","不需要融资","15-50人","/C/图像处理/区块链/"
"2887","suanfagongchengshidata","算法工程师","苏州","工业园区",10,18,"经验1-3年","本科","神彩科技","“加班少,福利好,全额公积金,有大楼”","数据服务","不需要融资","150-500人","/建模/数据挖掘/"
"2888","suanfagongchengshidata","算法工程师【校招】","北京","东城区",18,25,"经验应届毕业生","本科","字节跳动","“六险一金，弹性工作，免费三餐，餐补”","移动互联网,数据服务","C轮","2000人以上","/算法/"
"2889","suanfagongchengshidata","算法工程师（心电图方向）","武汉","东湖新技术开发区",15,30,"经验3-5年","硕士","武汉心络科技有限公司","“五险一金,免费午餐,期权股权,租房补贴”","医疗健康数据服务","未融资","50-150人","/人工智能/"
"2890","suanfagongchengshidata","算法工程师（计算机视觉）","深圳","福田区",20,30,"经验3-5年","本科","智神信息技术","“双休 季度奖金 补贴”","移动互联网,企业服务","未融资","500-2000人","/人工智能/机器学习/图像处理/"
"2891","suanfagongchengshidata","算法工程师","杭州","高新文教区",15,30,"经验3-5年","本科","诚智天扬","“五险一金,周末双休,年终奖金,年度旅游”","移动互联网","未融资","50-150人","/大数据/搜索/数据挖掘/"
"2892","suanfagongchengshidata","算法工程师","广州","越秀区",18,36,"经验3-5年","本科","聚焦网络集团","“周末双休，五险一金，带薪休假，年终表彰”","移动互联网,电子商务","未融资","150-500人","/人工智能/机器学习/深度学习/数据挖掘/"
"2893","suanfagongchengshidata","算法工程师","北京","海淀区",15,30,"经验1-3年","本科","随行付金科","“带薪年假,快速成长,弹性工作，六险一金”","移动互联网金融","未融资","150-500人","/深度学习/机器学习/"
"2894","suanfagongchengshidata","算法工程师","深圳","科技园",20,40,"经验不限","硕士","深圳百诺基因医疗技术有限公司","“五险一金”","医疗健康,其他","未融资","50-150人","/医疗健康/"
"2895","suanfagongchengshidata","算法工程师","苏州","独墅湖",25,40,"经验1-3年","硕士","苏州瑞鹏信息技术有限公司","“高速发展公司 大牛团队”","移动互联网,数据服务","不需要融资","50-150人","/数据挖掘/Hive/数据分析/"
"2896","suanfagongchengshidata","算法工程师（图像、传感器融合，室内外定位）","北京","学院路",25,50,"经验1-3年","本科","睦星科技","“精英牛人 晋升空间大”","移动互联网,其他","A轮","15-50人","/C++/Python/云计算/"
"2897","suanfagongchengshidata","算法工程师","杭州","西湖大道",20,35,"经验3-5年","本科","瑞小云","“五险一金、绩效奖金、年终多薪、年度旅游。”","移动互联网","不需要融资","15-50人","/大数据/机器学习/深度学习/数据挖掘/"
"2898","suanfagongchengshidata","算法工程师","南京","建邺区",20,26,"经验应届毕业生","本科","字节跳动","“弹性工作，免费三餐，餐补，租房补贴”","移动互联网,数据服务","C轮","2000人以上","/算法/"
"2899","suanfagongchengshidata","算法工程师","广州","海珠区",10,20,"经验1-3年","本科","触漫","“周末双休,年底双薪,年度旅行,六险一金”","移动互联网,文化娱乐","A轮","50-150人","/机器学习/"
"2900","suanfagongchengshidata","算法工程师","北京","知春路",20,40,"经验不限","硕士","天眼查","“核心部门,万千宠爱,五险一金,技术大牛”","数据服务","A轮","150-500人","/信息安全/机器学习/深度学习/"
"2901","suanfagongchengshidata","算法工程师","北京","西直门",20,30,"经验3-5年","本科","康夫子","“技术大牛多,公司氛围好,15.5薪,七险一金”","移动互联网,医疗健康","A轮","15-50人","/医疗健康/NLP/数据挖掘/"
"2902","suanfagongchengshidata","算法工程师","上海","虹梅路",15,30,"经验1-3年","本科","快仓智能仓储","“人工智能,前景好,福利待遇好,技术氛围好”","硬件,数据服务","C轮","150-500人","/数据挖掘/"
"2903","suanfagongchengshidata","算法工程师","上海","徐家汇",20,40,"经验3-5年","本科","赋能加速器","“福利待遇好，大牛多，发展空间大”","移动互联网,生活服务","未融资","少于15人","/移动互联网/数据挖掘/"
"2904","suanfagongchengshidata","算法工程师","上海","长征",15,25,"经验3-5年","本科","同策咨询","“14-15薪”","金融","不需要融资","2000人以上","/房产服务/推荐/"
"2905","suanfagongchengshidata","算法工程师","杭州","拱墅区",20,30,"经验3-5年","本科","银泰商业集团","“阿里团队,技术大牛,新零售前沿,福利多多”","移动互联网","不需要融资","2000人以上","/新零售/大数据/深度学习/推荐/数据挖掘/"
"2906","suanfagongchengshidata","算法工程师","合肥","政务文化新区",20,35,"经验3-5年","本科","格灵深瞳","“扁平化管理,团队氛围好”","企业服务,数据服务","C轮","150-500人","/机器学习/图像处理/深度学习/"
"2907","suanfagongchengshidata","算法工程师","北京","西三旗",23,40,"经验3-5年","本科","源清慧虹","“二次医疗 绩效奖金 健身房”","信息安全,数据服务","B轮","50-150人","/通信/网络设备/人工智能/机器学习/建模/"
"2908","suanfagongchengshidata","算法工程师","杭州","西溪",15,30,"经验3-5年","本科","魔蝎科技","“年底多薪,扁平管理,多样团建,股票期权”","数据服务,移动互联网","B轮","50-150人","/数据挖掘/"
